Slavonski Šamac,45.0667,18.4833,Croatia,HR,Brodsko-Posavska Županija,minor,,
Podbablje,43.4169,17.1761,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Sveta Marija,46.3333,16.7333,Croatia,HR,Međimurska Županija,minor,,
Podturen,46.4647,16.5461,Croatia,HR,Međimurska Županija,minor,,
Donji Vidovec,46.3300,16.7900,Croatia,HR,Međimurska Županija,minor,,
Pregrada,46.1642,15.7508,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Opuzen,43.0175,17.5628,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Vinica,46.3361,16.1494,Croatia,HR,Varaždinska Županija,minor,,
Petrijanec,46.3492,16.2250,Croatia,HR,Varaždinska Županija,minor,,
Brckovljani,45.8300,16.3000,Croatia,HR,Zagrebačka Županija,minor,,
Tuhelj,46.0769,15.7472,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Mače,46.0947,16.0353,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Koprivnički Bregi,46.1386,16.9058,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Rugvica,45.7361,16.2331,Croatia,HR,Zagrebačka Županija,minor,,
Sveti Ðurđ,46.2844,16.6042,Croatia,HR,Varaždinska Županija,minor,,
Jalžabet,46.2600,16.4800,Croatia,HR,Varaždinska Županija,minor,,
Marija Bistrica,46.0042,16.1186,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Sveti Ivan Zelina,45.9500,16.2333,Croatia,HR,Zagrebačka Županija,minor,,
Konjšćina,46.0528,16.1800,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Tučepi,43.2650,17.0569,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Škabrnje,44.0916,15.4516,Croatia,HR,Zadarska Županija,minor,,
Sukošan,44.0490,15.3120,Croatia,HR,Zadarska Županija,minor,,
Valpovo,45.6500,18.4167,Croatia,HR,Osječko-Baranjska Županija,minor,,
Murter,43.8204,15.5899,Croatia,HR,Šibensko-Kninska Županija,minor,,
Malinska,45.1253,14.5281,Croatia,HR,Primorsko-Goranska Županija,minor,,
Vrsi,44.2625,15.2333,Croatia,HR,Zadarska Županija,minor,,
Omišalj,45.2119,14.5542,Croatia,HR,Primorsko-Goranska Županija,minor,,
Rab,44.7561,14.7611,Croatia,HR,Primorsko-Goranska Županija,minor,,
Novi Golubovec,46.1800,15.9800,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Kloštar Ivanić,45.7400,16.4200,Croatia,HR,Zagrebačka Županija,minor,,
Lobor,46.1500,16.0600,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Zlatar,46.1500,16.1167,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Dekanovec,46.4500,16.5800,Croatia,HR,Međimurska Županija,minor,,
Kraljevec na Sutli,45.9800,15.7300,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Matulji,45.3667,14.3167,Croatia,HR,Primorsko-Goranska Županija,minor,,
Sveti Petar u Šumi,45.1833,13.8614,Croatia,HR,Istarska Županija,minor,,
Tribunj,43.7506,15.7789,Croatia,HR,Šibensko-Kninska Županija,minor,,
Kutina,45.4791,16.7768,Croatia,HR,Sisačko-Moslavačka Županija,minor,,
Klenovnik,46.2700,16.0700,Croatia,HR,Varaždinska Županija,minor,,
Dubravica,45.9500,15.7333,Croatia,HR,Zagrebačka Županija,minor,,
Davor,45.1167,17.5167,Croatia,HR,Brodsko-Posavska Županija,minor,,
Bol,43.2619,16.6550,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Jastrebarsko,45.6667,15.6500,Croatia,HR,Zagrebačka Županija,minor,,
Pakoštane,43.9094,15.5081,Croatia,HR,Zadarska Županija,minor,,
Klinča Sela,45.6800,15.7500,Croatia,HR,Zagrebačka Županija,minor,,
Antunovac,45.4900,18.6800,Croatia,HR,Osječko-Baranjska Županija,minor,,
